dataset,provenance,as_of,model,window_days,half_life_days,placement_id,channel,campaign_id,creative_id,kind,cost_rub,attributed_rub,buyers,orders,payments,romi_pct,romi_status
history_publications_2026,real,2026-09-12T00:00:00.000000+00:00,last_touch,7,,tg_1875,@postypashki_old,owned_history,post_1875,owned,,0,0,0,0,,unknown_cost
history_publications_2026,real,2026-09-12T00:00:00.000000+00:00,last_touch,7,,tg_1876,@postypashki_old,owned_history,post_1876,owned,,0,0,0,0,,unknown_cost
history_publications_2026,real,2026-09-12T00:00:00.000000+00:00,last_touch,7,,tg_1877,@postypashki_old,owned_history,post_1877,owned,,0,0,0,0,,unknown_cost
history_publications_2026,real,2026-09-12T00:00:00.000000+00:00,last_touch,7,,tg_1878,@postypashki_old,owned_history,post_1878,owned,,0,0,0,0,,unknown_cost
history_publications_2026,real,2026-09-12T00:00:00.000000+00:00,last_touch,7,,tg_1880,@postypashki_old,owned_history,post_1880,owned,,0,0,0,0,,unknown_cost
history_publications_2026,real,2026-09-12T00:00:00.000000+00:00,last_touch,7,,tg_1881,@postypashki_old,owned_history,post_1881,owned,,0,0,0,0,,unknown_cost
history_publications_2026,real,2026-09-12T00:00:00.000000+00:00,last_touch,7,,tg_1882,@postypashki_old,owned_history,post_1882,owned,,0,0,0,0,,unknown_cost
history_publications_2026,real,2026-09-12T00:00:00.000000+00:00,last_touch,7,,tg_1885,@postypashki_old,owned_history,post_1885,owned,,0,0,0,0,,unknown_cost
history_publications_2026,real,2026-09-12T00:00:00.000000+00:00,last_touch,7,,tg_1887,@postypashki_old,owned_history,post_1887,owned,,0,0,0,0,,unknown_cost
history_publications_2026,real,2026-09-12T00:00:00.000000+00:00,last_touch,7,,tg_1892,@postypashki_old,owned_history,post_1892,owned,,0,0,0,0,,unknown_cost
history_publications_2026,real,2026-09-12T00:00:00.000000+00:00,last_touch,7,,tg_1893,@postypashki_old,owned_history,post_1893,owned,,0,0,0,0,,unknown_cost
history_publications_2026,real,2026-09-12T00:00:00.000000+00:00,last_touch,7,,tg_1895,@postypashki_old,owned_history,post_1895,owned,,0,0,0,0,,unknown_cost
history_publications_2026,real,2026-09-12T00:00:00.000000+00:00,last_touch,7,,tg_1897,@postypashki_old,owned_history,post_1897,owned,,0,0,0,0,,unknown_cost
history_publications_2026,real,2026-09-12T00:00:00.000000+00:00,last_touch,7,,tg_1898,@postypashki_old,owned_history,post_1898,owned,,0,0,0,0,,unknown_cost
history_publications_2026,real,2026-09-12T00:00:00.000000+00:00,last_touch,7,,tg_1899,@postypashki_old,owned_history,post_1899,owned,,0,0,0,0,,unknown_cost
history_publications_2026,real,2026-09-12T00:00:00.000000+00:00,last_touch,7,,tg_1900,@postypashki_old,owned_history,post_1900,owned,,0,0,0,0,,unknown_cost
