placement_id,source_url,observation_id,published_at_source,content_kind,campaign_topics,direct_course_promotion,cost_rub,provenance,summary,tracking_token
tg_1875,https://t.me/postypashki_old/1875,postypashki_old:1875,2026-08-31T17:11:02+03:00,course_promotion,"[""tbank_selection""]",True,,real,Разбор отбора Т-Банка как преимущество ПРО; приглашение записаться через менеджера.,p_79c8608ce210c0144dfb89b9
tg_1876,https://t.me/postypashki_old/1876,postypashki_old:1876,2026-09-01T20:40:56+03:00,course_promotion,"[""tbank_selection""]",True,,real,План учебного года с предложением ПРО для подготовки к отборам.,p_e9fbc36304cf800a7c7be5dc
tg_1877,https://t.me/postypashki_old/1877,postypashki_old:1877,2026-09-02T19:06:05+03:00,course_promotion,"[""tbank_selection""]",True,,real,Приглашение на ПРО для отбора Т-Банка; дедлайн 6 сентября.,p_8e91f5c70e3c832e12e7e684
tg_1878,https://t.me/postypashki_old/1878,postypashki_old:1878,2026-09-03T19:06:06+03:00,deadline_reminder,"[""tbank_selection""]",True,,real,Напоминание о дедлайне Т-Банка 6 сентября и предложение ПРО с разборами экзаменов.,p_fd4d007f85f103a1ca7e700d
tg_1880,https://t.me/postypashki_old/1880,postypashki_old:1880,2026-09-06T12:06:06+03:00,deadline_reminder,"[""tbank_selection""]",True,,real,Последние 12 часов отбора Т-Банка и приглашение на ПРО.,p_8cd93bee28488b23ffd30876
tg_1881,https://t.me/postypashki_old/1881,postypashki_old:1881,2026-09-06T15:06:08+03:00,lead_magnet,"[""tbank_selection""]",False,,real,Разбор экзамена Т-Банка за подписку и комментарий в Instagram.,p_358363f3df43cf174d26f2a7
tg_1882,https://t.me/postypashki_old/1882,postypashki_old:1882,2026-09-06T18:04:47+03:00,course_promotion,"[""tbank_selection"", ""yandex_selection""]",True,,real,Стажировки разработчиков; разбор Т-Банка на ПРО и напоминание о дедлайне сегодня.,p_5cca5c3be33b84af1e000952
tg_1885,https://t.me/postypashki_old/1885,postypashki_old:1885,2026-09-06T20:44:11+03:00,course_promotion,"[""tbank_selection""]",True,,real,Гайды по собеседованиям Т-Банка и приглашение на ПРО за дополнительными материалами.,p_c65fa3a1656da38cfe672064
tg_1887,https://t.me/postypashki_old/1887,postypashki_old:1887,2026-09-07T13:47:40+03:00,free_event,"[""free_week""]",False,,real,"Анонс бесплатной недели Аналитика вне SQL 7-13 сентября, первое занятие 7 сентября в 19:00.",p_13bbcf3595e07fae0987a588
tg_1892,https://t.me/postypashki_old/1892,postypashki_old:1892,2026-09-07T17:05:21+03:00,free_event,"[""free_week""]",False,,real,Гайд по A/B-тестам X5 и приглашение на открытую неделю.,p_d28ccdb2724afda7ab70ee9e
tg_1893,https://t.me/postypashki_old/1893,postypashki_old:1893,2026-09-07T18:51:46+03:00,free_event,"[""free_week""]",False,,real,Напоминание о первом занятии открытой недели 7 сентября в 19:00.,p_ac1e314bd79cfac2273b4474
tg_1895,https://t.me/postypashki_old/1895,postypashki_old:1895,2026-09-08T18:27:01+03:00,course_promotion,"[""yandex_selection""]",True,,real,Гайд по алгоритмам Яндекса и приглашение на ПРО за разбором контеста.,p_10c712249011c5693d4a4b6f
tg_1897,https://t.me/postypashki_old/1897,postypashki_old:1897,2026-09-09T17:17:20+03:00,free_event,"[""free_week""]",False,,real,Материал о собеседованиях Авито и приглашение на встречу 10 сентября в 19:00.,p_68e57da2b5d8dfba58964057
tg_1898,https://t.me/postypashki_old/1898,postypashki_old:1898,2026-09-10T11:59:39+03:00,free_event,"[""free_week""]",False,,real,Материалы HR-встречи и напоминание о встрече 10 сентября в 19:00.,p_8b9a648683c7395b84d0eefb
tg_1899,https://t.me/postypashki_old/1899,postypashki_old:1899,2026-09-10T17:06:13+03:00,course_promotion,[],True,,real,Интервью с выпускницей и приглашение на Аналитику ПРО.,p_c98aa65e2778974b4b611ff7
tg_1900,https://t.me/postypashki_old/1900,postypashki_old:1900,2026-09-11T16:37:42+03:00,free_event,"[""free_week""]",False,,real,"Хакатон открытой недели; дедлайн решения 12 сентября 20:59, финал 13 сентября.",p_0146103d4febb65a86b4802f
