dataset_id,provenance,model,window_days,payment_id,order_id,placement_id,amount_cents,weight
demo_2026,synthetic,first_touch,7,pay1,o1,p_a,999000,1
demo_2026,synthetic,first_touch,7,pay2,o2,p_a,895000,1
demo_2026,synthetic,first_touch,7,pay5,o5,p_unknown,1495000,1
demo_2026,synthetic,first_touch,7,pay6,o6,p_a,500000,1
demo_2026,synthetic,first_touch,7,pay8part1,o8,p_a,500000,1
demo_2026,synthetic,first_touch,7,pay8part2,o8,p_a,500000,1
demo_2026,synthetic,linear,7,pay1,o1,p_a,499500,0.5
demo_2026,synthetic,linear,7,pay1,o1,p_b,499500,0.5
demo_2026,synthetic,linear,7,pay2,o2,p_a,895000,1
demo_2026,synthetic,linear,7,pay5,o5,p_unknown,1495000,1
demo_2026,synthetic,linear,7,pay6,o6,p_a,166667,0.3333333333333333333333333333
demo_2026,synthetic,linear,7,pay6,o6,p_b,166667,0.3333333333333333333333333333
demo_2026,synthetic,linear,7,pay6,o6,p_owned,166666,0.3333333333333333333333333333
demo_2026,synthetic,linear,7,pay8part1,o8,p_a,500000,1
demo_2026,synthetic,linear,7,pay8part2,o8,p_a,250000,0.5
demo_2026,synthetic,linear,7,pay8part2,o8,p_b,250000,0.5
demo_2026,synthetic,time_decay,7,pay1,o1,p_a,442051,0.4424933340244421033281650107
demo_2026,synthetic,time_decay,7,pay1,o1,p_b,556949,0.5575066659755578966718349893
demo_2026,synthetic,time_decay,7,pay2,o2,p_a,895000,1
demo_2026,synthetic,time_decay,7,pay5,o5,p_unknown,1495000,1
demo_2026,synthetic,time_decay,7,pay6,o6,p_a,79873,0.1597464236416837295347689181
demo_2026,synthetic,time_decay,7,pay6,o6,p_b,100634,0.2012678817915813523261554093
demo_2026,synthetic,time_decay,7,pay6,o6,p_owned,319493,0.6389856945667349181390756725
demo_2026,synthetic,time_decay,7,pay8part1,o8,p_a,500000,1
demo_2026,synthetic,time_decay,7,pay8part2,o8,p_a,221247,0.4424933340244421033281650107
demo_2026,synthetic,time_decay,7,pay8part2,o8,p_b,278753,0.5575066659755578966718349893
demo_2026,synthetic,position_based,7,pay1,o1,p_a,499500,0.5
demo_2026,synthetic,position_based,7,pay1,o1,p_b,499500,0.5
demo_2026,synthetic,position_based,7,pay2,o2,p_a,895000,1
demo_2026,synthetic,position_based,7,pay5,o5,p_unknown,1495000,1
demo_2026,synthetic,position_based,7,pay6,o6,p_a,200000,0.4
demo_2026,synthetic,position_based,7,pay6,o6,p_b,100000,0.2
demo_2026,synthetic,position_based,7,pay6,o6,p_owned,200000,0.4
demo_2026,synthetic,position_based,7,pay8part1,o8,p_a,500000,1
demo_2026,synthetic,position_based,7,pay8part2,o8,p_a,250000,0.5
demo_2026,synthetic,position_based,7,pay8part2,o8,p_b,250000,0.5
demo_2026,synthetic,last_touch,14,pay1,o1,p_b,999000,1
demo_2026,synthetic,last_touch,14,pay2,o2,p_a,895000,1
demo_2026,synthetic,last_touch,14,pay5,o5,p_unknown,1495000,1
demo_2026,synthetic,last_touch,14,pay6,o6,p_owned,500000,1
demo_2026,synthetic,last_touch,14,pay8part1,o8,p_a,500000,1
demo_2026,synthetic,last_touch,14,pay8part2,o8,p_b,500000,1
demo_2026,synthetic,last_touch,14,pay4,o4,p_a,895000,1
demo_2026,synthetic,first_touch,14,pay1,o1,p_a,999000,1
demo_2026,synthetic,first_touch,14,pay2,o2,p_a,895000,1
demo_2026,synthetic,first_touch,14,pay5,o5,p_unknown,1495000,1
demo_2026,synthetic,first_touch,14,pay6,o6,p_a,500000,1
demo_2026,synthetic,first_touch,14,pay8part1,o8,p_a,500000,1
demo_2026,synthetic,first_touch,14,pay8part2,o8,p_a,500000,1
demo_2026,synthetic,first_touch,14,pay4,o4,p_a,895000,1
demo_2026,synthetic,linear,14,pay1,o1,p_a,499500,0.5
demo_2026,synthetic,linear,14,pay1,o1,p_b,499500,0.5
demo_2026,synthetic,linear,14,pay2,o2,p_a,895000,1
demo_2026,synthetic,linear,14,pay5,o5,p_unknown,1495000,1
demo_2026,synthetic,linear,14,pay6,o6,p_a,166667,0.3333333333333333333333333333
demo_2026,synthetic,linear,14,pay6,o6,p_b,166667,0.3333333333333333333333333333
demo_2026,synthetic,linear,14,pay6,o6,p_owned,166666,0.3333333333333333333333333333
demo_2026,synthetic,linear,14,pay8part1,o8,p_a,500000,1
demo_2026,synthetic,linear,14,pay8part2,o8,p_a,250000,0.5
demo_2026,synthetic,linear,14,pay8part2,o8,p_b,250000,0.5
demo_2026,synthetic,linear,14,pay4,o4,p_a,895000,1
demo_2026,synthetic,time_decay,14,pay1,o1,p_a,442051,0.4424933340244421033281650107
demo_2026,synthetic,time_decay,14,pay1,o1,p_b,556949,0.5575066659755578966718349893
demo_2026,synthetic,time_decay,14,pay2,o2,p_a,895000,1
demo_2026,synthetic,time_decay,14,pay5,o5,p_unknown,1495000,1
demo_2026,synthetic,time_decay,14,pay6,o6,p_a,79873,0.1597464236416837295347689181
demo_2026,synthetic,time_decay,14,pay6,o6,p_b,100634,0.2012678817915813523261554093
demo_2026,synthetic,time_decay,14,pay6,o6,p_owned,319493,0.6389856945667349181390756725
demo_2026,synthetic,time_decay,14,pay8part1,o8,p_a,500000,1
demo_2026,synthetic,time_decay,14,pay8part2,o8,p_a,221247,0.4424933340244421033281650107
demo_2026,synthetic,time_decay,14,pay8part2,o8,p_b,278753,0.5575066659755578966718349893
demo_2026,synthetic,time_decay,14,pay4,o4,p_a,895000,1
demo_2026,synthetic,position_based,14,pay1,o1,p_a,499500,0.5
demo_2026,synthetic,position_based,14,pay1,o1,p_b,499500,0.5
demo_2026,synthetic,position_based,14,pay2,o2,p_a,895000,1
demo_2026,synthetic,position_based,14,pay5,o5,p_unknown,1495000,1
demo_2026,synthetic,position_based,14,pay6,o6,p_a,200000,0.4
demo_2026,synthetic,position_based,14,pay6,o6,p_b,100000,0.2
demo_2026,synthetic,position_based,14,pay6,o6,p_owned,200000,0.4
demo_2026,synthetic,position_based,14,pay8part1,o8,p_a,500000,1
demo_2026,synthetic,position_based,14,pay8part2,o8,p_a,250000,0.5
demo_2026,synthetic,position_based,14,pay8part2,o8,p_b,250000,0.5
demo_2026,synthetic,position_based,14,pay4,o4,p_a,895000,1
demo_2026,synthetic,last_touch,21,pay1,o1,p_b,999000,1
demo_2026,synthetic,last_touch,21,pay2,o2,p_a,895000,1
demo_2026,synthetic,last_touch,21,pay5,o5,p_unknown,1495000,1
demo_2026,synthetic,last_touch,21,pay6,o6,p_owned,500000,1
demo_2026,synthetic,last_touch,21,pay8part1,o8,p_a,500000,1
demo_2026,synthetic,last_touch,21,pay8part2,o8,p_b,500000,1
demo_2026,synthetic,last_touch,21,pay4,o4,p_a,895000,1
demo_2026,synthetic,first_touch,21,pay1,o1,p_a,999000,1
demo_2026,synthetic,first_touch,21,pay2,o2,p_a,895000,1
demo_2026,synthetic,first_touch,21,pay5,o5,p_unknown,1495000,1
demo_2026,synthetic,first_touch,21,pay6,o6,p_a,500000,1
demo_2026,synthetic,first_touch,21,pay8part1,o8,p_a,500000,1
demo_2026,synthetic,first_touch,21,pay8part2,o8,p_a,500000,1
demo_2026,synthetic,first_touch,21,pay4,o4,p_a,895000,1
demo_2026,synthetic,linear,21,pay1,o1,p_a,499500,0.5
demo_2026,synthetic,linear,21,pay1,o1,p_b,499500,0.5
demo_2026,synthetic,linear,21,pay2,o2,p_a,895000,1
demo_2026,synthetic,linear,21,pay5,o5,p_unknown,1495000,1
demo_2026,synthetic,linear,21,pay6,o6,p_a,166667,0.3333333333333333333333333333
demo_2026,synthetic,linear,21,pay6,o6,p_b,166667,0.3333333333333333333333333333
demo_2026,synthetic,linear,21,pay6,o6,p_owned,166666,0.3333333333333333333333333333
demo_2026,synthetic,linear,21,pay8part1,o8,p_a,500000,1
demo_2026,synthetic,linear,21,pay8part2,o8,p_a,250000,0.5
demo_2026,synthetic,linear,21,pay8part2,o8,p_b,250000,0.5
demo_2026,synthetic,linear,21,pay4,o4,p_a,895000,1
demo_2026,synthetic,time_decay,21,pay1,o1,p_a,442051,0.4424933340244421033281650107
demo_2026,synthetic,time_decay,21,pay1,o1,p_b,556949,0.5575066659755578966718349893
demo_2026,synthetic,time_decay,21,pay2,o2,p_a,895000,1
demo_2026,synthetic,time_decay,21,pay5,o5,p_unknown,1495000,1
demo_2026,synthetic,time_decay,21,pay6,o6,p_a,79873,0.1597464236416837295347689181
demo_2026,synthetic,time_decay,21,pay6,o6,p_b,100634,0.2012678817915813523261554093
demo_2026,synthetic,time_decay,21,pay6,o6,p_owned,319493,0.6389856945667349181390756725
demo_2026,synthetic,time_decay,21,pay8part1,o8,p_a,500000,1
demo_2026,synthetic,time_decay,21,pay8part2,o8,p_a,221247,0.4424933340244421033281650107
demo_2026,synthetic,time_decay,21,pay8part2,o8,p_b,278753,0.5575066659755578966718349893
demo_2026,synthetic,time_decay,21,pay4,o4,p_a,895000,1
demo_2026,synthetic,position_based,21,pay1,o1,p_a,499500,0.5
demo_2026,synthetic,position_based,21,pay1,o1,p_b,499500,0.5
demo_2026,synthetic,position_based,21,pay2,o2,p_a,895000,1
demo_2026,synthetic,position_based,21,pay5,o5,p_unknown,1495000,1
demo_2026,synthetic,position_based,21,pay6,o6,p_a,200000,0.4
demo_2026,synthetic,position_based,21,pay6,o6,p_b,100000,0.2
demo_2026,synthetic,position_based,21,pay6,o6,p_owned,200000,0.4
demo_2026,synthetic,position_based,21,pay8part1,o8,p_a,500000,1
demo_2026,synthetic,position_based,21,pay8part2,o8,p_a,250000,0.5
demo_2026,synthetic,position_based,21,pay8part2,o8,p_b,250000,0.5
demo_2026,synthetic,position_based,21,pay4,o4,p_a,895000,1
